CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,2018,95,52,4,39,58,37,0,0,73,22,91,0,0,0,0,4,173,12,4,157,61,112,0,0,142,31,157,5,1,7,2,1,,
CA-524,Yuba City & County/Sutter County CoC,Sheltered-Only Count,2018,292,127,26,139,171,121,0,0,191,101,210,40,2,13,3,24,473,49,29,395,211,223,2,37,406,67,339,19,5,10,4,96,,
CA-525,El Dorado County CoC,Sheltered-Only Count,2018,149,30,9,110,58,91,0,0,130,19,113,1,2,2,1,30,496,84,28,384,193,303,0,0,490,6,446,24,0,15,0,11,,
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered-Only Count,2018,134,52,8,74,86,48,0,0,106,28,122,1,0,3,0,8,264,20,39,205,99,161,0,4,251,13,209,10,0,10,1,34,,
CA-527,Tehama County CoC,Sheltered-Only Count,2018,69,12,4,53,33,36,0,0,53,16,60,1,0,4,0,4,56,0,1,55,22,34,0,0,53,3,50,0,0,3,0,3,,
CA-529,Lake County CoC,Sheltered and Unsheltered Count,2018,24,6,6,12,14,10,0,0,19,5,19,0,0,0,0,5,591,36,28,527,207,381,3,0,423,168,457,16,0,58,0,60,,
CA-530,"Alpine, Inyo, Mono Counties CoC",Sheltered and Unsheltered Count,2018,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,156,8,10,138,52,104,0,0,150,6,136,3,0,17,0,0,,
CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,2018,12385,3795,1471,7119,5546,6712,116,11,7702,4683,5525,6267,157,185,225,26,37570,936,1484,35150,9833,26772,803,162,24713,12857,19095,15043,661,1026,239,1506,,
CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,2018,3586,766,242,2578,1359,2217,10,0,2387,1199,2331,909,46,51,30,219,4990,248,650,4092,1402,3530,23,35,3831,1159,3256,1172,58,234,93,177,,
CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered-Only Count,2018,2371,697,118,1556,1145,1220,1,5,1370,1001,1725,338,79,88,34,107,2584,25,98,2461,430,2150,4,0,1753,831,1958,376,83,97,14,56,,
CA-603,Santa Maria/Santa Barbara County CoC,Sheltered-Only Count,2018,813,140,55,618,329,481,1,2,410,403,681,53,5,27,12,35,893,107,71,715,309,583,1,0,659,234,742,60,11,42,5,33,,
CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,2018,515,104,43,368,181,333,1,0,340,175,361,125,0,17,3,9,370,3,27,340,94,275,1,0,287,83,279,47,4,14,7,19,,
CA-606,Long Beach CoC,Sheltered-Only Count,2018,665,88,30,547,207,458,0,0,495,170,375,225,23,6,8,28,1208,35,58,1115,336,862,8,2,912,296,660,379,29,46,40,54,,
CA-607,Pasadena CoC,Sheltered and Unsheltered Count,2018,215,45,13,157,82,133,0,0,142,73,116,65,6,6,15,7,462,14,31,417,117,343,1,1,348,114,205,171,3,18,1,64,,
CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,2018,631,147,69,415,272,354,4,1,378,253,432,133,10,22,10,24,1685,4,175,1506,504,1167,9,5,1135,550,1143,319,22,124,25,52,,
CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,2018,675,280,42,353,355,320,0,0,387,288,386,219,0,11,3,56,1443,73,117,1253,422,1009,10,2,1088,355,910,289,11,36,11,186,,
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,2018,478,105,20,353,215,263,0,0,259,219,417,20,4,5,4,28,830,13,31,786,231,592,2,5,556,274,705,45,8,23,1,48,,
CA-612,Glendale CoC,Sheltered and Unsheltered Count,2018,104,51,7,46,59,45,0,0,50,54,60,31,1,2,1,9,156,10,4,142,44,111,1,0,107,49,103,15,4,3,3,28,,
CA-613,Imperial County CoC,Sheltered and Unsheltered Count,2018,160,90,18,52,88,72,0,0,9,151,154,5,0,1,0,0,1333,29,80,1224,353,962,12,6,993,340,1145,48,12,52,0,76,,
CA-614,San Luis Obispo County CoC,Sheltered-Only Count,2018,273,59,19,195,118,155,0,0,200,73,226,11,6,9,1,20,822,30,168,624,225,597,0,0,696,126,641,57,10,69,10,35,,
CO-500,Colorado Balance of State CoC,Sheltered-Only Count,2018,1481,322,108,1051,558,917,3,3,1024,457,1154,85,9,80,6,147,2508,507,222,1779,1068,1434,4,2,1593,915,2258,102,3,84,6,55,,
CO-503,Metropolitan Denver CoC,Sheltered and Unsheltered Count,2018,4009,775,219,3015,1340,2647,13,9,3027,982,2395,942,40,182,50,400,1308,52,119,1137,364,933,5,6,1027,281,856,208,8,86,15,135,,
CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,2018,1038,222,93,723,398,639,1,0,908,130,728,206,11,26,9,58,513,9,47,457,152,356,2,3,441,72,423,23,6,29,8,24,,
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered and Unsheltered Count,2018,772,206,48,518,327,442,3,0,474,298,399,321,3,5,0,44,92,1,23,68,25,67,0,0,54,38,37,49,2,0,1,3,,
CT-505,Connecticut Balance of State CoC,Sheltered and Unsheltered Count,2018,2623,759,139,1725,1205,1416,2,0,1730,893,1407,959,9,81,6,161,489,1,44,444,102,385,2,0,357,132,313,153,3,6,9,5,,
DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,2018,6304,1932,606,3766,2821,3453,28,2,6028,276,350,5847,32,36,15,24,600,1,33,566,139,450,5,6,549,51,128,439,7,4,0,22,,
DE-500,Delaware Statewide CoC,Sheltered and Unsheltered Count,2018,989,227,70,692,452,536,0,1,921,68,340,595,6,8,2,38,93,0,8,85,38,55,0,0,91,2,66,21,0,4,0,2,,
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,2018,740,149,48,543,295,443,2,0,674,66,520,176,0,2,2,40,452,11,17,424,135,316,1,0,366,86,326,86,3,23,0,14,,
FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,2018,1155,357,61,737,571,581,3,0,958,197,451,683,4,9,4,4,640,10,34,596,133,504,2,1,540,100,429,183,1,22,5,0,,
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,2018,1647,260,87,1300,598,1046,3,0,1487,160,1017,556,6,7,2,59,965,4,42,919,228,735,2,0,895,70,606,302,1,16,7,33,,
FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,2018,418,133,23,262,186,232,0,0,347,71,229,165,0,0,0,24,134,0,9,125,31,101,2,0,123,11,94,30,0,9,0,1,,
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2018,277,115,14,148,159,117,1,0,249,28,146,109,0,2,0,20,406,12,24,370,114,292,0,0,384,22,302,74,2,7,1,20,,
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2018,83,39,5,39,52,31,0,0,74,9,41,27,2,0,0,13,412,47,19,346,160,252,0,0,394,18,293,79,2,7,2,29,,
FL-506,Tallahassee/Leon County CoC,Sheltered and Unsheltered Count,2018,810,184,48,578,313,495,2,0,766,44,263,505,8,4,6,24,99,4,9,86,27,71,1,0,95,4,47,40,0,4,1,7,,
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,2018,1693,455,147,1091,639,1051,3,0,1350,343,662,899,5,13,5,109,360,13,16,331,90,269,0,1,311,49,203,136,2,8,2,9,,
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,2018,323,90,9,224,118,205,0,0,301,22,168,148,0,0,1,6,433,13,8,412,118,311,4,0,406,27,268,137,0,8,0,20,,
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,2018,513,320,19,174,322,191,0,0,437,76,249,240,1,0,0,23,1029,163,27,839,320,709,0,0,972,57,713,264,2,7,2,41,,
FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,2018,1365,254,71,1040,496,864,5,0,1285,80,575,690,6,0,6,88,429,0,61,368,137,285,4,3,416,13,181,228,1,4,0,15,,
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,2018,487,108,23,356,145,342,0,0,470,17,242,182,4,5,2,52,145,3,12,130,43,102,0,0,138,7,95,31,1,1,1,16,,
FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,2018,178,81,16,81,107,71,0,0,168,10,92,68,1,2,0,15,164,0,14,150,36,127,1,0,159,5,130,24,1,7,0,2,,
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered-Only Count,2018,481,183,24,274,171,309,1,0,445,36,322,126,3,0,2,28,253,9,14,230,58,195,0,0,241,12,201,33,2,2,1,14,,
FL-514,Ocala/Marion County CoC,Sheltered and Unsheltered Count,2018,301,86,16,199,158,143,0,0,270,31,200,90,1,0,0,10,271,5,22,244,56,215,0,0,261,10,189,68,0,3,0,11,,
FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,2018,109,29,12,68,67,42,0,0,103,6,76,27,0,1,1,4,272,19,21,232,97,174,1,0,254,18,221,35,1,13,2,0,,
FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered and Unsheltered Count,2018,69,25,0,44,51,18,0,0,47,22,44,24,1,0,0,0,384,110,38,236,149,235,0,0,283,101,217,167,0,0,0,0,,
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered-Only Count,2018,90,27,4,59,44,45,1,0,78,12,49,33,0,0,0,8,403,43,44,316,114,288,1,0,390,13,218,164,1,2,0,18,,
FL-519,Pasco County CoC,Sheltered-Only Count,2018,253,100,12,141,142,111,0,0,208,45,171,58,0,0,0,24,2415,490,770,1155,798,1546,12,59,1978,437,2049,269,11,11,36,39,,
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered and Unsheltered Count,2018,449,148,38,263,228,221,0,0,402,47,341,90,1,1,0,16,262,9,19,234,92,170,0,0,240,22,218,38,0,4,0,2,,
FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,2018,2486,754,160,1572,946,1534,6,0,1628,858,908,1535,11,4,2,26,1030,4,22,1004,188,839,3,0,711,319,497,528,1,1,2,1,,
FL-601,Ft Lauderdale/Broward County CoC,Sheltered and Unsheltered Count,2018,1449,288,130,1031,522,917,10,0,1293,156,494,918,6,5,4,22,869,15,41,813,196,671,2,0,798,71,404,443,7,8,0,7,,
FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,2018,78,15,0,63,23,55,0,0,77,1,60,13,0,0,0,5,86,8,5,73,30,55,0,1,84,2,77,4,0,4,0,1,,
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,2018,524,179,13,332,288,236,0,0,422,102,336,184,0,2,0,2,204,13,9,182,53,151,0,0,199,5,141,61,0,0,1,1,,
FL-604,Monroe County CoC,Sheltered and Unsheltered Count,2018,761,115,5,641,292,469,0,0,658,103,684,48,4,2,1,22,212,18,5,189,55,157,0,0,185,27,190,7,1,5,0,9,,
FL-605,West Palm Beach/Palm Beach County CoC,Sheltered and Unsheltered Count,2018,458,168,62,228,234,224,0,0,408,50,143,294,6,0,2,13,851,56,22,773,203,648,0,0,783,68,445,395,3,5,3,0,,
FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,2018,440,74,0,366,193,247,0,0,345,95,329,78,2,6,6,19,213,56,0,157,71,141,1,0,138,75,177,17,1,2,1,15,,
GA-500,Atlanta CoC,Sheltered and Unsheltered Count,2018,2336,354,158,1824,775,1550,11,0,2272,64,213,2026,10,18,5,64,740,5,29,706,122,604,11,3,717,23,69,606,1,10,3,51,,
GA-501,Georgia Balance of State CoC,Sheltered-Only Count,2018,1857,757,135,965,1198,659,0,0,1786,71,594,1195,3,7,7,51,1873,93,118,1662,579,1285,9,0,1806,67,957,819,2,25,5,65,,
GA-502,Fulton County CoC,Sheltered and Unsheltered Count,2018,134,71,9,54,94,40,0,0,134,0,8,126,0,0,0,0,88,11,6,71,17,71,0,0,88,0,7,81,0,0,0,0,,
GA-503,Athens-Clarke County CoC,Sheltered and Unsheltered Count,2018,166,55,9,102,75,91,0,0,157,9,50,102,0,3,2,9,46,0,2,44,17,29,0,0,45,1,25,19,0,0,0,2,,
GA-504,Augusta-Richmond County CoC,Sheltered-Only Count,2018,222,19,11,192,72,149,1,0,214,8,73,138,1,1,2,7,47,0,2,45,40,7,0,0,47,0,13,31,0,0,0,3,,
GA-505,Columbus-Muscogee CoC,Sheltered and Unsheltered Count,2018,196,30,15,151,101,93,0,2,190,6,77,96,0,6,0,17,80,0,2,78,13,66,1,0,79,1,24,48,0,0,0,8,,
GA-506,Marietta/Cobb County CoC,Sheltered-Only Count,2018,266,80,21,165,141,125,0,0,251,15,92,164,3,0,1,6,118,8,4,106,36,82,0,0,108,10,59,50,0,2,0,7,,
GA-507,Savannah/Chatham County CoC,Sheltered and Unsheltered Count,2018,545,88,37,420,235,310,0,0,530,15,233,311,1,0,0,0,464,0,40,424,72,392,0,0,460,4,258,203,1,1,0,1,,
GA-508,DeKalb County CoC,Sheltered and Unsheltered Count,2018,178,100,4,74,119,59,0,0,175,3,31,144,0,0,0,3,143,2,8,133,36,107,0,0,141,2,21,122,0,0,0,0,,
GU-500,Guam CoC,Sheltered and Unsheltered Count,2018,127,67,7,53,65,62,0,0,127,0,2,6,5,0,112,2,727,294,69,364,334,393,0,0,677,50,9,2,15,1,676,24,,
HI-500,Hawaii Balance of State CoC,Sheltered and Unsheltered Count,2018,705,279,50,376,358,347,0,0,603,102,163,18,23,6,273,222,1330,178,78,1074,499,824,4,3,1130,200,506,26,70,27,340,361,,
HI-501,Honolulu City and County CoC,Sheltered and Unsheltered Count,2018,2350,782,125,1443,1022,1321,7,0,2046,304,419,97,187,15,990,642,2145,127,117,1901,794,1335,12,4,1779,366,439,73,299,32,647,655,,
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered and Unsheltered Count,2018,258,61,15,182,102,156,0,0,222,36,141,40,2,60,4,11,6,0,0,6,0,6,0,0,5,1,0,0,1,3,0,2,,
IA-501,Iowa Balance of State CoC,Sheltered and Unsheltered Count,2018,1593,509,169,915,742,847,4,0,1471,122,976,480,5,16,4,112,128,16,13,99,44,84,0,0,125,3,117,8,0,2,0,1,,
IA-502,Des Moines/Polk County CoC,Sheltered and Unsheltered Count,2018,657,98,76,483,216,439,2,0,592,65,436,174,6,6,0,35,107,0,9,98,32,74,0,1,96,11,83,11,0,3,2,8,,
ID-500,Boise/Ada County CoC,Sheltered and Unsheltered Count,2018,635,96,26,513,196,438,1,0,552,83,545,34,4,10,8,34,121,3,9,109,29,92,0,0,106,15,84,5,1,12,3,16,,
ID-501,Idaho Balance of State CoC,Sheltered and Unsheltered Count,2018,654,234,45,375,334,319,1,0,553,101,580,13,1,11,6,43,602,105,77,420,254,348,0,0,491,111,466,5,1,70,5,55,,
IL-500,McHenry County CoC,Sheltered-Only Count,2018,174,33,15,126,77,97,0,0,167,7,137,34,0,1,0,2,5,0,0,5,1,4,0,0,5,0,5,0,0,0,0,0,,
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Sheltered and Unsheltered Count,2018,310,90,43,177,151,158,1,0,275,35,129,144,3,2,0,32,46,0,6,40,12,34,0,0,42,4,30,13,0,3,0,0,,
IL-502,"Waukegan, North Chicago/Lake County CoC",Sheltered and Unsheltered Count,2018,253,63,19,171,127,124,2,0,201,52,113,132,0,1,0,7,24,0,0,24,2,22,0,0,21,3,15,6,1,0,0,2,,
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Sheltered and Unsheltered Count,2018,179,45,15,119,71,108,0,0,178,1,69,103,0,0,0,7,9,0,0,9,1,8,0,0,9,0,4,4,0,0,0,1,,
IL-504,Madison County CoC,Sheltered and Unsheltered Count,2018,95,35,4,56,68,27,0,0,82,13,32,59,0,0,0,4,51,5,1,45,18,33,0,0,51,0,36,9,0,2,0,4,,
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,2018,298,109,18,171,138,160,0,0,270,28,115,177,3,0,0,3,43,0,4,39,6,37,0,0,42,1,33,9,0,1,0,0,,
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered and Unsheltered Count,2018,366,103,16,247,176,190,0,0,349,17,196,135,6,3,2,24,34,1,1,32,8,26,0,0,31,3,23,10,0,0,1,0,,
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,2018,160,65,10,85,86,73,0,1,159,1,39,117,0,0,2,2,90,21,8,61,41,48,0,1,89,1,29,60,1,0,0,0,,
IL-510,Chicago CoC,Sheltered and Unsheltered Count,2018,4093,1209,416,2468,1829,2239,14,11,3556,537,942,2916,30,38,24,143,1357,4,42,1311,209,1148,0,0,1205,152,306,996,10,20,0,25,,
IL-511,Cook County CoC,Sheltered-Only Count,2018,781,198,85,498,355,426,0,0,671,110,332,414,13,1,2,19,92,1,6,85,28,64,0,0,82,10,61,29,0,0,0,2,,
IL-512,Bloomington/Central Illinois CoC,Sheltered and Unsheltered Count,2018,362,104,63,195,188,173,1,0,355,7,143,210,0,0,0,9,25,1,3,21,7,18,0,0,25,0,11,12,0,0,0,2,,
IL-513,Springfield/Sangamon County CoC,Sheltered and Unsheltered Count,2018,252,48,16,188,98,153,1,0,246,6,117,109,1,3,0,22,19,1,0,18,1,18,0,0,19,0,12,7,0,0,0,0,,
IL-514,DuPage County CoC,Sheltered-Only Count,2018,280,81,58,141,139,137,3,1,256,24,121,144,8,1,0,6,15,0,0,15,3,12,0,0,15,0,13,1,0,0,0,1,,
IL-515,South Central Illinois CoC,Sheltered and Unsheltered Count,2018,70,28,2,40,52,18,0,0,67,3,55,14,0,0,0,1,22,1,1,20,10,12,0,0,11,11,22,0,0,0,0,0,,
IL-516,Decatur/Macon County CoC,Sheltered and Unsheltered Count,2018,140,37,9,94,56,84,0,0,139,1,50,80,0,0,0,10,21,1,5,15,7,14,0,0,21,0,13,8,0,0,0,0,,
IL-517,"Aurora, Elgin/Kane County CoC",Sheltered-Only Count,2018,405,73,26,306,148,256,1,0,304,101,241,146,3,2,0,13,25,0,0,25,3,22,0,0,16,9,21,3,1,0,0,0,,
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Sheltered and Unsheltered Count,2018,182,37,27,118,71,109,2,0,162,20,119,56,0,0,0,7,16,0,1,15,4,12,0,0,16,0,16,0,0,0,0,0,,
IL-519,West Central Illinois CoC,Sheltered and Unsheltered Count,2018,67,30,7,30,39,28,0,0,61,6,39,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IL-520,Southern Illinois CoC,Sheltered and Unsheltered Count,2018,234,74,25,135,129,104,1,0,225,9,184,39,0,0,0,11,48,7,6,35,17,30,1,0,45,3,31,16,0,0,1,0,,
IN-502,Indiana Balance of State CoC,Sheltered and Unsheltered Count,2018,3133,725,206,2202,1423,1702,6,2,2985,148,2181,822,16,19,8,87,443,5,35,403,135,308,0,0,433,10,352,71,1,6,6,7,,
IN-503,Indianapolis CoC,Sheltered and Unsheltered Count,2018,1546,251,82,1213,542,997,7,0,1479,67,592,909,12,7,2,24,136,0,9,127,38,96,2,0,129,7,87,37,1,2,0,9,,
KS-502,Wichita/Sedgwick County CoC,Sheltered and Unsheltered Count,2018,515,109,46,360,165,349,1,0,448,67,290,182,5,12,3,23,58,0,5,53,12,46,0,0,52,6,35,16,0,2,1,4,,
KS-503,Topeka/Shawnee County CoC,Sheltered and Unsheltered Count,2018,347,80,23,244,128,219,0,0,308,39,233,60,1,12,1,40,61,0,0,61,12,49,0,0,59,2,44,5,0,8,0,4,,
KS-505,"Overland Park, Shawnee/Johnson County CoC",Sheltered and Unsheltered Count,2018,130,67,7,56,84,46,0,0,119,11,74,45,3,0,2,6,38,1,3,34,15,23,0,0,36,2,26,4,1,0,0,7,,
KS-507,Kansas Balance of State CoC,Sheltered and Unsheltered Count,2018,757,214,57,486,328,421,1,7,656,101,510,110,2,47,10,78,161,0,16,145,51,109,0,1,145,16,128,16,0,5,0,12,,
KY-500,Kentucky Balance of State CoC,Sheltered and Unsheltered Count,2018,1385,347,107,931,652,731,1,1,1338,47,1112,187,8,4,3,71,692,43,57,592,240,449,1,2,668,24,599,50,0,3,0,40,,
KY-501,Louisville-Jefferson County CoC,Sheltered and Unsheltered Count,2018,773,155,53,565,269,500,4,0,740,33,313,388,0,4,0,68,153,4,9,140,31,121,1,0,147,6,111,37,0,5,0,0,,
KY-502,Lexington-Fayette County CoC,Sheltered and Unsheltered Count,2018,662,67,17,578,210,450,2,0,630,32,462,170,3,4,1,22,23,0,5,18,0,23,0,0,23,0,19,3,1,0,0,0,,
LA-500,Lafayette/Acadiana CoC,Sheltered and Unsheltered Count,2018,190,54,10,126,77,113,0,0,183,7,68,110,2,4,0,6,173,1,7,165,31,142,0,0,168,5,79,87,0,3,0,4,,
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Sheltered and Unsheltered Count,2018,331,72,19,240,115,215,1,0,322,9,103,219,1,1,1,6,44,0,2,42,8,35,1,0,42,2,19,23,0,0,0,2,,
LA-503,New Orleans/Jefferson Parish CoC,Sheltered and Unsheltered Count,2018,594,82,91,421,188,404,2,0,573,21,183,402,3,6,0,0,594,2,21,571,103,483,4,4,577,17,245,333,3,7,5,1,,
LA-505,Monroe/Northeast Louisiana CoC,Sheltered and Unsheltered Count,2018,179,73,18,88,104,75,0,0,178,1,58,118,0,1,0,2,8,4,0,4,5,3,0,0,8,0,2,6,0,0,0,0,,
LA-506,Slidell/Southeast Louisiana CoC,Sheltered and Unsheltered Count,2018,135,10,8,117,24,110,1,0,129,6,88,37,0,1,1,8,59,3,3,53,18,41,0,0,53,6,41,14,0,0,0,4,,
LA-507,Alexandria/Central Louisiana CoC,Sheltered and Unsheltered Count,2018,124,16,3,105,50,74,0,0,122,2,84,39,0,0,0,1,53,0,1,52,18,35,0,0,53,0,19,32,0,0,0,2,,
LA-509,Louisiana Balance of State CoC,Sheltered and Unsheltered Count,2018,441,49,26,366,127,311,3,0,433,8,180,239,3,0,0,19,134,5,10,119,33,101,0,0,132,2,64,67,1,1,1,0,,
MA-500,Boston CoC,Sheltered and Unsheltered Count,2018,6025,2165,498,3362,2904,3099,13,9,3843,2182,2164,2754,48,17,41,1001,163,0,8,155,36,127,0,0,155,8,70,36,5,0,0,52,,
MA-502,Lynn CoC,Sheltered and Unsheltered Count,2018,1019,429,64,526,572,435,12,0,961,58,755,177,8,1,2,76,42,0,8,34,18,22,2,0,38,4,20,16,0,0,0,6,,
MA-503,Cape Cod Islands CoC,Sheltered and Unsheltered Count,2018,319,102,35,182,167,152,0,0,274,45,237,58,4,11,0,9,39,1,0,38,8,31,0,0,37,2,27,3,1,2,1,5,,
MA-504,Springfield/Hampden County CoC,Sheltered and Unsheltered Count,2018,3324,1669,289,1366,1862,1462,0,0,909,2415,2568,461,8,12,1,274,44,0,2,42,10,34,0,0,31,13,35,7,0,2,0,0,,
MA-505,New Bedford CoC,Sheltered and Unsheltered Count,2018,360,115,36,209,184,176,0,0,254,106,204,104,0,4,3,45,49,1,0,48,20,29,0,0,45,4,37,8,0,1,0,3,,
MA-506,Worcester City & County CoC,Sheltered and Unsheltered Count,2018,1682,669,152,861,813,868,1,0,858,824,1212,431,15,4,2,18,170,0,21,149,56,110,2,2,127,43,135,28,2,0,0,5,,
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Sheltered and Unsheltered Count,2018,597,140,26,431,231,364,2,0,404,193,478,101,2,3,2,11,54,0,5,49,21,33,0,0,50,4,50,1,0,0,0,3,,
MA-509,Cambridge CoC,Sheltered and Unsheltered Count,2018,482,84,54,344,158,319,3,2,385,97,271,186,5,4,0,16,79,0,8,71,23,56,0,0,72,7,64,14,0,0,0,1,,
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Sheltered and Unsheltered Count,2018,1068,437,92,539,560,508,0,0,838,230,542,515,3,3,1,4,22,0,1,21,10,12,0,0,21,1,17,5,0,0,0,0,,
MA-515,Fall River CoC,Sheltered and Unsheltered Count,2018,345,171,24,150,184,161,0,0,211,134,195,141,0,1,0,8,32,0,0,32,10,22,0,0,31,1,28,1,0,0,1,2,,
MA-516,Massachusetts Balance of State CoC,Sheltered and Unsheltered Count,2018,3696,1600,301,1795,1991,1701,4,0,2054,1642,2365,1131,52,14,7,127,249,0,35,214,66,182,1,0,171,78,199,24,4,5,2,15,,
MA-519,"Attleboro, Taunton/Bristol County CoC",Sheltered and Unsheltered Count,2018,166,77,12,77,88,78,0,0,129,37,101,62,1,0,1,1,42,0,3,39,9,33,0,0,38,4,39,1,0,0,0,2,,
MD-501,Baltimore CoC,Sheltered-Only Count,2018,1962,255,83,1624,561,1398,3,0,1921,41,543,1383,9,9,2,16,546,2,27,517,127,418,1,0,529,17,155,358,0,8,1,24,,
MD-503,Annapolis/Anne Arundel County CoC,Sheltered and Unsheltered Count,2018,280,61,12,207,108,172,0,0,264,16,128,132,4,1,0,15,86,1,3,82,24,61,1,0,84,2,68,9,0,0,0,9,,
MD-504,Howard County CoC,Sheltered and Unsheltered Count,2018,125,48,5,72,62,63,0,0,116,9,46,66,4,1,0,8,43,3,4,36,15,28,0,0,39,4,26,14,0,0,0,3,,
MD-505,Baltimore County CoC,Sheltered and Unsheltered Count,2018,472,171,20,281,227,244,1,0,464,8,110,344,2,1,2,13,286,39,18,229,110,175,1,0,282,4,158,120,0,6,0,2,,
MD-506,Carroll County CoC,Sheltered-Only Count,2018,151,40,14,97,71,80,0,0,147,4,106,34,0,2,0,9,22,0,2,20,8,14,0,0,20,2,19,1,0,1,1,0,,
MD-511,Mid-Shore Regional CoC,Sheltered and Unsheltered Count,2018,111,31,8,72,52,58,1,0,109,2,53,53,0,0,0,5,30,9,1,20,12,18,0,0,30,0,15,11,0,0,0,4,,
